dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0008,2,NAMOA_dr_goal_epsilon,0.0,exact,True,6,exact,6,2,0.0,0.728331468,0.294469725,0.006506332,1.030611376,68,2669,3491,0,BAY_0008_m2_e0.0_5c257c3bc65b3cff.json
BAY,0008,2,apex_open_merge,0.2,epsilon_cover,True,2,exact,6,2,0.022499756465134357,0.74818705,0.313399928,0.013198075,1.079034001,68,0,1,0,BAY_0008_m2_e0.2_53729bce6dc2a5ff.json
BAY,0008,3,apex_open_merge,0.2,epsilon_cover,True,7,unavailable_single_config,7,1,,0.741062034,0.435954425,0.011706892,1.191702117,68,602,602,74,BAY_0008_m3_e0.2_c051087c9a50b3cc.json
BAY,0008,5,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.742527684,0.607873315,0.015401554,1.369872763,69,7067,7099,1681,BAY_0008_m5_e0.2_79f6bb7bece4be59.json
BAY,0009,2,NAMOA_dr_goal_epsilon,0.0,exact,True,70,exact,70,2,0.0,0.705735572,0.901588812,0.231310923,1.841655163,101,328943,379783,0,BAY_0009_m2_e0.0_4f91f376569c1eab.json
BAY,0009,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,70,2,0.015648149936249522,0.752073723,1.027287211,0.011004406,1.793248372,68,0,1,0,BAY_0009_m2_e0.2_9026e38a37011e68.json
BAY,0009,3,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.748964595,1.088326676,0.018068487,1.858984184,68,11963,11963,2286,BAY_0009_m3_e0.2_f59521b29c8b64b2.json
BAY,0009,5,apex_open_merge,0.2,epsilon_cover,True,19,unavailable_single_config,19,1,,0.682720558,1.026526512,2.152696094,3.899836207,312,1456635,1460524,403585,BAY_0009_m5_e0.2_3e93a4b756152c7f.json
BAY,0010,2,NAMOA_dr_goal_epsilon,0.0,exact,True,191,exact,191,2,0.0,0.730737323,0.870660564,0.105138124,1.707895891,74,134092,152953,0,BAY_0010_m2_e0.0_ca662bc0c756b072.json
BAY,0010,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,191,2,0.009525499133425264,0.623509637,0.81720711,0.010091692,1.453486727,68,0,1,0,BAY_0010_m2_e0.2_260db065ce31c995.json
BAY,0010,3,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.739125999,0.931010176,0.00934752,1.681530312,68,0,1,0,BAY_0010_m3_e0.2_033a030415443960.json
BAY,0010,5,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.747882187,0.991265359,0.009912338,1.751261826,69,0,1,0,BAY_0010_m5_e0.2_638564cbc9297242.json
BAY,0011,2,NAMOA_dr_goal_epsilon,0.0,exact,True,94,exact,94,2,0.0,0.73102984,0.551237317,0.01839826,1.30212918,71,32051,37686,0,BAY_0011_m2_e0.0_0fba4e5ca277a6a5.json
BAY,0011,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,94,2,0.025215777029806485,0.743733896,0.607417105,0.011462525,1.366058818,68,0,1,0,BAY_0011_m2_e0.2_97f22dc2563b7b39.json
BAY,0011,3,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.613795555,0.568301231,0.009132637,1.194127976,68,0,1,0,BAY_0011_m3_e0.2_209bc5f538bbf73f.json
