dataset,query_id,source,target,status,solutions,search_seconds,expanded,generated,peak_open,process_peak_rss_mb
COL,0017,49067,114604,complete,27525,100.704,66312125,183056354,408251,139
COL,0018,49121,114623,complete,26761,95.5501,64277017,177466698,407657,138
COL,0019,49123,114629,complete,26816,98.3763,64707294,178649840,407703,138
COL,0020,49122,114598,complete,29796,98.1207,69335750,191341162,411795,140
COL,0021,49067,114630,complete,26816,91.2321,64707294,178649840,407703,138
COL,0022,49121,115087,complete,26625,85.414,63687704,175903706,407657,137
COL,0023,49122,115087,complete,26625,92.3765,63687704,175903706,407657,137
COL,0024,49123,114084,complete,34947,121.244,74574954,205250113,413799,143
COL,0025,49067,114623,complete,26761,97.1587,64277017,177466698,407657,138
COL,0026,49122,114623,complete,26761,97.3811,64277017,177466698,407657,138
COL,0027,49123,114622,complete,26816,89.7632,64680480,178542584,407695,138
COL,0028,49067,114617,complete,26846,89.665,64832356,178985491,408271,138
COL,0029,49124,114604,complete,27525,82.0492,66312125,183056354,408251,139
COL,0030,49124,114622,complete,26816,74.7276,64680480,178542584,407695,138
