dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,file
BAY,0005,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.625275369,1.060604791,2.060208537,3.757665006,192,1880744,BAY_0005_m3_e0.2_17ec2ca2ca70e908.json
BAY,0005,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.608096353,1.03293943,30.00509319,31.67378658,532,3992755,BAY_0005_m5_e0.2_dab1de039f02a051.json
BAY,0006,2,NAMOA_dr_goal_epsilon,0.0,exact,True,23,exact,23,2,0.0,0.729742077,0.416259386,0.007138467,1.154292191,69,5277,BAY_0006_m2_e0.0_9393405941bab017.json
BAY,0006,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,3,exact,23,2,0.03792032909229093,0.745109556,0.431424247,0.005511164,1.183384475,69,0,BAY_0006_m2_e0.2_819156cdecad7a7d.json
BAY,0006,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,8,unavailable_single_config,8,1,,0.791908404,0.663802027,0.008635386,1.466845659,68,300,BAY_0006_m3_e0.2_bc1111ef6ad41199.json
BAY,0006,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.627409318,0.591571583,0.00734547,1.227993112,68,3014,BAY_0006_m5_e0.2_ea2323e76bf2a971.json
BAY,0007,2,NAMOA_dr_goal_epsilon,0.0,exact,True,18,exact,18,2,0.0,0.755593134,0.365819347,0.01083507,1.134064649,68,8597,BAY_0007_m2_e0.0_c70582a007873eee.json
BAY,0007,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,3,exact,18,2,0.05492992814967623,0.673651645,0.365995756,0.008281663,1.050504145,68,0,BAY_0007_m2_e0.2_c04cbd7b2444b0c0.json
BAY,0007,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.784376944,0.54209571,0.158923719,1.489217213,76,143833,BAY_0007_m3_e0.2_a0aab1b370b449a2.json
BAY,0007,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,10,unavailable_single_config,10,1,,0.626224056,0.52692783,30.00676985,31.17978229,556,3699387,BAY_0007_m5_e0.2_9b6b32d504dfde29.json
BAY,0008,2,NAMOA_dr_goal_epsilon,0.0,exact,True,6,exact,6,2,0.0,0.732877756,0.286479503,0.00649487,1.027028898,69,2669,BAY_0008_m2_e0.0_531b1db95bf9447d.json
BAY,0008,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,2,exact,6,2,0.022499756465134357,0.743842663,0.308379991,0.00665753,1.060367219,68,0,BAY_0008_m2_e0.2_92fe9f775cd8d826.json
BAY,0008,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,7,unavailable_single_config,7,1,,0.671342259,0.478153785,0.008025006,1.160022355,69,656,BAY_0008_m3_e0.2_33447dfcbd6d6d51.json
BAY,0008,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.604780353,0.501319652,0.017689728,1.125510101,69,27700,BAY_0008_m5_e0.2_77951ad785f734e6.json
BAY,0009,2,NAMOA_dr_goal_epsilon,0.0,exact,True,70,exact,70,2,0.0,0.613230547,0.801071899,0.215298047,1.632124369,101,328943,BAY_0009_m2_e0.0_59d23e1b7c53e935.json
BAY,0009,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,5,exact,70,2,0.015648149936249522,0.772015765,1.078947558,0.008037403,1.861447767,68,0,BAY_0009_m2_e0.2_d3e27985fee349f0.json
BAY,0009,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.78530531,1.286616852,0.026172628,2.100807556,69,36908,BAY_0009_m3_e0.2_2c909396dc345c51.json
BAY,0009,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,12,unavailable_single_config,12,1,,0.745373323,1.072697154,30.00309636,31.85513067,570,4064529,BAY_0009_m5_e0.2_504acbcefccd8456.json
BAY,0010,2,NAMOA_dr_goal_epsilon,0.0,exact,True,191,exact,191,2,0.0,0.760517175,1.024090442,0.112027995,1.898540572,74,134092,BAY_0010_m2_e0.0_4425030b0c53ef40.json
BAY,0010,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,5,exact,191,2,0.009525499133425264,0.625078418,0.77253577,0.006047771,1.405072047,68,0,BAY_0010_m2_e0.2_ab4f5b952faf94af.json
